caseid,start,end
36,125,4602
100,4,3535
141,218,4190
169,91,5670
173,54,5219
183,13,5129
203,87,6126
223,4,5093
227,129,4863
245,72,6299
248,114,5384
278,43,5479
288,4,4013
299,145,4272
311,144,5460
331,225,3947
352,83,3975
376,27,4280
420,25,3654
437,108,3032
454,146,5081
458,45,4289
480,296,6337
502,184,6900
542,72,6610
545,161,5140
546,297,5338
547,76,4166
597,65,2864
604,153,4582
615,68,4931
635,127,4046
643,210,5747
647,66,3407
648,76,4208
695,4,4248
710,137,4755
712,218,3658
717,47,5634
718,134,4441
735,98,5901
747,271,4138
766,68,6723
786,25,3297
797,4,6515
805,4,5429
879,4,5926
891,120,2937
893,101,6305
901,88,3674
903,81,5974
905,81,5144
925,117,3335
934,154,6391
943,4,1975
961,68,4852
973,290,5322
974,106,5191
977,102,4707
987,25,3597
994,4,5978
1015,4,4366
1064,73,2907
1071,268,3929
1101,4,6144
1106,160,5443
1116,90,5649
1122,4,2789
1156,233,4104
1158,61,5183
1162,145,2472
1196,4,5797
1226,127,4999
1251,4,4866
1253,4,2936
1266,96,6139
1270,20,4375
1271,17,5338
1287,159,4838
1289,138,5230
1297,41,4780
1300,4,4492
1314,106,4896
1322,218,5587
1326,71,5223
1330,152,4668
1334,269,4030
1349,4,6109
1369,248,2621
1372,66,6164
1418,23,5078
1427,226,5473
1433,59,3194
1438,4,5457
1445,14,2781
1447,49,5685
1459,4,4346
1470,40,4357
1495,13,5427
1514,122,3450
1533,72,5093
1550,5,5811
1552,173,5515
1570,4,2672
1587,4,5395
1588,193,6780
1596,155,5529
1600,4,5219
1607,174,5016
1650,15,4181
1651,74,2727
1663,10,3079
1670,8,5395
1713,94,5860
1744,4,5683
1746,14,6507
1760,71,3547
1782,211,3420
1791,209,5968
1808,80,4275
1910,98,3850
1989,25,3671
1994,4,5592
1998,109,5113
2013,140,3815
2025,151,4589
2046,109,5377
2048,4,4505
2058,70,4984
2084,47,5275
2097,31,3405
2101,16,5548
2102,11,6319
2110,145,5730
2143,137,4292
2148,146,6418
2167,13,4772
2178,4,3473
2188,292,4153
2198,90,5226
2208,174,2864
2217,136,4142
2218,29,5869
2226,25,5071
2232,207,3544
2257,226,5327
2259,64,3206
2260,175,4480
2274,163,1592
2288,75,3726
2289,89,3734
2290,4,3576
2294,81,4227
2329,25,4491
2374,70,4830
2384,172,3592
2387,4,6149
2404,237,3942
2406,99,4437
2439,148,3549
2451,4,5794
2460,4,6881
2473,6,3846
2485,80,5773
2511,146,4813
2518,257,5914
2524,4,4818
2535,4,5086
2536,119,3677
2546,82,3414
2555,18,5838
2576,129,5445
2603,157,4933
2623,172,4330
2643,184,4844
2666,275,5808
2669,62,4154
2723,131,3656
2739,39,5595
2758,211,3270
2770,211,4981
2833,172,3686
2841,4,5666
2865,60,4516
2867,4,5181
2892,4,4477
2895,81,6410
2896,167,3180
2901,4,5052
2903,234,5248
2917,106,4592
2918,162,5574
2941,66,5961
2969,4,3527
2979,164,5681
2998,15,4756
3003,220,4503
3011,66,4222
3049,83,4664
3054,21,5427
3056,264,4771
3057,94,4828
3100,91,4985
3104,64,6589
3123,107,4652
3126,130,6211
3141,109,5156
3144,62,6027
3151,45,1804
3174,97,4486
3176,262,4145
3178,47,4693
3182,257,5011
3187,62,6021
3190,4,5151
3245,4,5426
3251,4,6549
3276,204,4085
3301,277,3943
3308,190,4295
3339,171,4756
3362,4,3519
3432,83,4978
3467,141,6181
3472,73,4552
3504,214,5104
3511,105,5577
3523,207,5846
3536,50,4932
3561,254,5602
3575,4,2150
3581,55,4855
3583,111,4590
